style,colour,qty,avg_price,net_$
207713,White,32,96.59,3078.69
207135G1,Mulberry,32,52.43,1709.78
206531,Mid Blue,31,177.32,5487.69
206549,Black,31,170.93,5242.89
206867,Raw Indigo,31,158.05,4895.69
207721,Chambray,31,137.86,4269.69
114953,Black,31,127.93,3951.69
207713,Black,31,98.71,3099.69
113032,ClassicNav,31,95.96,2958.7
118886,Navy/Whit,31,86.62,2671.91
118408,Navy,31,68.31,2117.81
119122,White,30,149.99,4499.7
119799,Navy,30,143.84,4303.2
207747,Navy,30,138.86,4164.7
115358,ClassicNav,30,118.63,3524.95
115179,Morc Blue,30,107.59,3143.06
206726,Tan,30,99.99,2999.7
119243,Blue/Multi,30,84.93,2599.72
116517,Cerise,30,74.64,2213.76
114852,Navy,30,69.99,2099.7
118152,Navy,30,63.26,1897.7
117256,Navy/Whit,30,59.49,1819.7
117241,Navy,30,58.02,1736.73
117665,Hazelnut,29,255.82,7494.81
115356,Black,29,171.67,4953.72
207211,Vint Wash,29,158.81,4599.71
206637,Moss,29,137.02,3921.79
114952,Black,29,131.66,3821.71
207269G1,White,29,129.9,3811.71
207714,Limestone,29,129.99,3769.71
114953,Navy,29,129.12,3743.71
119327,Blue/White,29,125.82,3640.72
117651,White,29,121.19,3514.76
118859,Whit/Navy,29,82.84,2523.72
119315,White Mult,29,82.84,2373.77
207143,Ink Mel,29,77.85,2257.73
207142,Navy,29,55.57,1615.85
119325,ClassicNav,28,162.7,4555.75
118019,Ivory,28,160.02,4380.95
115814,Mid Wash,28,147.2,4102.22
207748,Navy,28,129.03,3607.22
118564,Navy,28,123.15,3341.05
118566,White,28,119.03,3321.97
206726,Limestone,28,99.99,2799.72
118360,Whit/Navy,28,96.66,2619.92
117241,Black,28,57.82,1614.73
207379,Musk,27,446.88,12059.73
118065,Navy,27,269.99,7289.73
118064,Navy,27,197.92,5339.73
114540,Mid Wash,27,148.16,3998.74
206637,Azure,27,139.12,3734.78
118286,Lt Blue,27,132.3,3556.74
206726,White,27,97.88,2638.74
113032,Bone,27,96.06,2597.75
118060,Lt Blue,27,87.32,2357.75
116517G1,Navy/Whit,27,79.99,2159.73
118876,Navy,26,197.81,5134.36
206863,Raw Indigo,26,159.99,4159.74
206578,Navy,26,149.99,3849.76
207269G1,Navy,26,133.99,3479.74
118382,White,26,128.25,3327.74
206726,Olive,26,98.88,2568.75
118859,Navy/Whit,26,89.99,2339.74
119374,Whit/Navy,26,86.6,2251.76
119084,Multi Whte,26,83.92,2170.04
116517G1,White,26,79.99,2079.74
117610,Navy,26,78.88,2048.75
207493,Navy,26,76.37,1978.75
118152,White,26,58.63,1521.78
118667,Multi,26,55.59,1438.76
117665,Navy,25,240.14,6066.34
118773,Pine,25,165.5,4110.76
118982,Black,25,161.62,4023.76
206754,Age Blue,25,100.95,2507.75
207713,Tan,25,99.31,2478.76
206754,French Nvy,25,95.62,2417.75
SPKBOT0084,Multi,25,63.21,1580.42
207142,White,25,58.74,1438.86
206549,Fatigue,24,175.16,4174.96
118968,Lt Wash,24,162.22,3846.79
207553,Navy,24,146.75,3522.1
207721,Indigo,24,139.99,3359.76
207748,White,24,129.99,3119.76
207747,Dk Teal,24,111.35,2679.86
115358,Cappuccino,24,85.57,2086.89
119448,Peacock,24,87.27,2072.77
119499,Multi,24,85.59,2036.79
116517,Dk Jade,24,74.82,1795.8
119387,Pink/White,24,76.81,1790.85
207135G1,Dk Teal,24,57.52,1370.78
SPKACS0015,Multi,24,19.28,462.0
118671,Navy,23,288.21,6534.77
118703,Navy,23,193.21,4489.77
119277,Pink,23,194.35,4458.78
117720,Pl Blue,23,193.25,4417.79
206531,Utility,23,172.13,3967.77
117226G1,Indigo,23,134.47,3070.77
207511,Dutch Blue,23,129.99,2989.77
207674,Pink/Navy,23,121.09,2767.31
207267G1,White,23,119.95,2758.78
115179,Fern,23,116.72,2717.89
118059,Navy,23,89.99,2069.77
118203,Violet,23,71.55,1608.88
117241,White,23,59.07,1358.78
119099,Navy,23,47.24,1061.8
207379,Navy,22,432.55,9611.78
118530,Winter Wht,22,212.82,4647.77
207689,Mid Blue,22,203.54,4478.0
119291,Navy,22,185.26,4016.81
115359,Milk,22,161.02,3506.8
206910G1,Navy,22,147.08,3235.82
207580,Navy Mel,22,133.14,3174.83
118665,Multi,22,108.11,2212.95
119659,Navy,22,89.99,1979.78
119258,Purp/Whit,22,80.19,1764.24
117610,Black,22,79.99,1759.78
118893,Black,22,77.19,1692.79
114852G1,Black,22,69.19,1522.28
206750G2,Whit/Navy,22,59.99,1319.78
517725,French Nvy,22,38.17,839.87
SPKTP0057,Multi,22,26.06,576.4
SPKTP0082,Blue/Multi,22,21.19,466.18
119259,Navy/Whit,21,349.65,7603.29
117434,Navy,21,282.6,5759.89
117720,Wine,21,194.77,4079.79
118771,Camel,21,175.67,3671.79
118283,ClassicNav,21,172.8,3628.8
206549,Sand,21,169.34,3574.99
119055,ClassicNav,21,168.37,3535.79
117925,Silver Mel,21,165.21,3399.89
206576,Navy,21,169.1,3375.83
119826,White,21,129.99,2729.79
119327,Khaki/Wht,21,128.03,2688.8
207267G1,Navy,21,120.63,2539.79
207779,Navy,21,107.06,2200.36
207575,White,21,71.86,1569.14
SPKJAC0036,Sand,21,64.47,1353.95
207142,Charcoal,21,42.59,1016.92
SPKTP0116,Navy Multi,21,46.86,984.17
SPKONS0062,Pink,21,45.28,950.98
SPKTP0092,Pink,21,34.61,726.92
118738,Navy,20,155.51,3067.92
119799,Tan,20,147.68,2939.8
119159,Ivory/Navy,20,139.99,2799.8
118773,Black,20,138.72,2711.88
116109G1,Washed Ind,20,129.21,2562.81
207722,Chambray,20,127.9,2541.3
118162,Tan,20,122.36,2534.1
SPKJAC0034,Multi,20,105.24,2104.95
700490,Blk/Brown,20,99.99,1999.8
119780,Navy Multi,20,89.99,1799.8
119469,Whit/Kha,20,89.09,1781.8
116517G1,Navy,20,79.99,1599.8
119329,Champagne,20,79.32,1583.8
207734,Blue Mel,20,78.99,1578.81
207625,Steel Blue,20,71.17,1467.92
118362,Whit/Navy,20,72.3,1430.83
118845,Navy/Whit,20,58.08,1157.8
207135G1,Elm,20,52.74,1062.14
207546,Orange Mul,20,39.47,780.0
SPKTP0081,Coral,20,29.97,598.6
SPKTP0084,White,20,24.58,420.99
SPKTP0088,Green Mult,20,18.81,376.2
117925,Wine,19,193.81,3799.81
206576,Greystone,19,173.51,3257.83
119055,Black,19,169.99,3229.81
117430,Navy,19,157.83,3109.54
118747,Winter Wht,19,167.77,3040.95
206549,Deep Grey,19,157.99,2913.87
117399,Fern,19,139.99,2659.81
119245,Blue/White,19,137.59,2609.41
207791,Navy,19,133.63,2558.21
118986,Navy,19,127.19,2399.82
118286,ClassicNav,19,118.62,2253.87
115357,Latte,19,114.37,2173.14
118183,Blue/White,19,112.83,2143.87
207786,Blue/Multi,19,99.99,1899.81
113032,Ivory,19,96.37,1823.82
119258,Whit/Blue,19,87.65,1660.82
118544,White,19,87.6,1659.82
207493,White,19,79.46,1508.82
207773,WhiMulti,19,79.03,1499.81
116517,Sapphire,19,76.72,1457.83
118666,Multi,19,75.06,1426.15
206755,Limestone,19,65.62,1277.93
SPKTP0120,Multi,19,41.39,749.26
207371,Navy,18,286.6,4828.93
119130,Multi,18,224.49,3989.92
117720,Apricot,18,196.44,3528.83
118976,Red Multi,18,175.69,3113.88
118773,Winter Wht,18,166.04,2988.83
117310,Black,18,178.26,2880.42
118982,Wine,18,157.08,2775.86
206578,Dutch Blue,18,149.82,2696.85
119178,Navy/Whit,18,145.49,2609.82
207747,Lapis,18,133.49,2389.84
207264G1,Indigo,18,127.69,2349.82
207714,Age Blue,18,129.99,2339.82
118162,ClassicNav,18,132.86,2310.91
207721,Dk Pink,18,124.77,2245.86
207748,Khaki,18,122.42,2173.34
207269G1,Sky,18,121.39,2167.84
700492,Black,18,99.99,1799.82
119473,Orange/Wht,18,100.34,1726.95
119659,Ivory,18,89.99,1619.82
207463,Multi Whte,18,88.93,1600.91
118179,Coast,18,82.71,1474.35
119032,Navy,18,81.0,1458.16
118893,Navy,18,79.32,1423.82
207493,Black,18,79.19,1423.82
118410,Indigo,18,76.09,1369.75
114852G1,Cerulean,18,67.71,1218.83
206750G2,Navy/Whit,18,59.99,1079.82
118203,Pink Multi,18,58.0,1016.16
SPKBOT0066,Multi,18,55.59,993.98
207494,Moss,18,52.77,949.92
SPKDRS0011,Denim,18,56.63,925.96
SPKBOT0026,Olive,18,45.82,818.58
SPKTP0089,White,18,43.05,774.92
SPKTP0085,WhiMulti,18,39.51,712.28
SPKKNW0009,Taupe,18,35.99,647.96
SPKTP0092,White,18,32.19,565.96
SPKTP0084,Faded Blue,18,22.14,395.39
118742,Navy/Whit,17,287.99,4823.84
119848,Soft Pink,17,249.99,4249.83
119534,Dk Wash,17,169.99,2889.83
207212,Vint Wash,17,157.13,2719.83
206578,Malt,17,157.16,2671.83
206911G1,Black,17,152.41,2560.84
207716,Blue/White,17,149.99,2549.83
207553,Oatmeal,17,147.09,2507.85
117533,White,17,142.28,2418.84
119190,Cappuccino,17,127.69,2170.83
119190,Black,17,125.65,2118.83
118566,Blue,17,122.41,2081.05
117842,Blue/Multi,17,119.99,2039.83
207717,Whit/Blue,17,121.73,2012.9
207709,Navy/Whit,17,114.96,1954.36
118286,Lilac,17,110.7,1881.91
116209,Indigo,17,99.99,1699.83
700492,Brown,17,99.99,1699.83
118409,Mid Wash,17,90.26,1534.56
118508,Blue/White,17,78.83,1399.93
118106,Navy/Ivory,17,81.99,1393.85
119474,Green Mult,17,83.43,1379.06
207143,Ink,17,77.83,1318.84
207515,Ball Pt Bl,17,77.51,1317.68
207751,Teal,17,74.72,1259.83
207699,Dk Teal,17,71.72,1224.86
118119,Navy/Whit,17,64.83,1198.95
118669,Blue/Multi,17,74.68,1198.94
118629,Pink Multi,17,74.5,1186.57
114852G1,Navy,17,68.96,1172.33
118479,Blue/Multi,17,66.93,1137.95
SPKJAC0037,Sand,17,62.21,1063.99
118943,Blue/White,17,60.47,1028.15
118517,Whit/Navy,17,59.28,1007.83
SPKDRS0045,Green Mult,17,49.52,841.97
SPKBOT0088,Multi,17,45.1,736.96
SPKKNW0012,Taupe,17,31.13,527.2
SPKTP0066,Blue/White,17,30.99,524.98
SPKONS0052,Pink,17,30.35,515.98
119013,Black,16,343.6,5384.89
118907,Navy,16,340.61,5337.34
207689,Dusty Pink,16,244.58,3604.5
118426,Raspberry,16,195.09,3396.08
118819,Navy/Whit,16,199.99,3199.84
119242,Multi,16,194.99,3119.84
117720,Mint,16,192.44,3048.85
117720,Lavender,16,186.11,2977.86
206576,Almond,16,179.99,2879.84
118911,Ivory/Navy,16,159.99,2559.84
119055,Cerulean,16,154.05,2464.89
118572,Black,16,153.99,2463.88
118773,Charcoal,16,158.61,2446.87
119313,ClassicNav,16,149.05,2437.34
119044,Dk Wash,16,138.64,2436.87
206549,Chestnut,16,147.01,2400.19
119122,Navy,16,149.99,2399.84
207683,Nat Mel,16,146.94,2338.85
119515,Navy Multi,16,142.8,2227.34
119122,Orchid,16,131.71,2107.39
114952,Navy,16,132.14,2080.84
206997,WhiMulti,16,129.99,2079.84
119512,Whit/Navy,16,125.44,2007.04
206910G1,Charco Mel,16,123.88,1982.2
207725,Multi,16,123.13,1970.21
207144,Dutch Blue,16,120.99,1917.86
207348,Foliage,16,116.24,1859.88
207770,Khaki,16,101.99,1803.9
118183,Navy/Whit,16,116.99,1793.9
207696,Navy,16,97.21,1549.84
207267G1,Grapefruit,16,93.85,1539.09
119168,Multi,16,96.76,1521.87
119456,Navy Multi,16,95.21,1493.88
119832,Whit/Pink,16,89.99,1439.84
119832,Whit/Navy,16,89.99,1439.84
119639,Multi,16,87.96,1399.34
207700,Forest,16,89.79,1395.88
SPKDRS0049,Multi,16,84.52,1352.44
118859,Ivory/Burg,16,83.74,1339.86
207615,White Mult,16,79.17,1225.21
118340,White,16,74.49,1191.92
119329,Silver,16,73.15,1156.87
207734,Beige,16,70.69,1131.09
118114,Multi,16,67.7,1120.61
114852G1,Pl Blue,16,69.99,1119.84
118643,Green Mult,16,68.88,1102.12
114852G1,Orchid,16,66.99,1074.85
118902,Blue/Multi,16,68.58,1050.93
SPKJAC0017,Emerald,16,64.94,988.95
118517G2,Navy/Whit,16,59.99,959.84
119697,White,16,59.99,959.84
118838,Navy,16,59.6,955.24
SPKBOT0068,Chambray,16,59.49,951.92
SPKJAC0019,Emerald,16,58.11,926.3
207135G1,Seagreen,16,49.11,785.91
SPKKNW0015,Pink,16,48.8,780.89
207643,Wineberry,16,47.18,754.99
517725,Sand,16,46.86,749.86
SPKSLP0005,Blue/Multi,16,43.31,741.7
SPKBOT0062,Pink,16,34.12,545.98
SPKBOT0083,Mid Blue,16,36.99,545.98
SPKBOT0061,Mint,16,33.49,535.98
517725,Fatigue,16,22.22,399.98
117871,Caramel,15,385.87,5759.85
118620,Stone,15,385.22,5748.86
119572,Pecan,15,297.13,4439.85
119291,String,15,195.03,2885.85
118575,Blk/Multi,15,175.18,2598.86
118572,Navy,15,165.45,2481.87
115359,Pear,15,156.39,2345.87
207487,Navy Multi,15,150.2,2253.07
207810,French Nvy,15,149.99,2249.85
206911G1,Navy,15,150.3,2177.08
118833,Multi,15,144.32,2144.15
119440,Whit/Kha,15,144.28,2141.36
118286,Berry,15,139.99,2099.85
119502,Pink Multi,15,138.77,2071.85
206910G1,Black,15,137.55,2045.89
207729,Blue/Multi,15,127.83,1908.86
119468,Navy/Whit,15,127.77,1898.86
118319,ClassicNav,15,116.93,1869.91
118986,Grey Marle,15,116.59,1748.87
118566,Pink,15,116.39,1745.89
207758,Blue/Multi,15,103.39,1550.94
206754,Limestone,15,99.46,1489.85
119196,Blue/White,15,97.57,1458.86
207787,Navy Multi,15,97.83,1458.86
207762,Cappuccino,15,96.1,1433.86
119508,Tan/White,15,95.22,1418.86
207669,Navy,15,89.2,1294.9
118544,Navy,15,84.52,1267.87
207446,Blue,15,89.46,1260.94
118301,Blue/White,15,81.43,1221.54
207771,Blue/Multi,15,79.99,1199.85
118639,Blue/Multi,15,80.34,1185.89
207493,Charcoal,15,77.85,1167.85
207597,Steel Blue,15,86.33,1167.68
207699,Mulberry,15,77.19,1157.87
SPKDRS0056,Lilac,15,77.17,1111.93
118514,Cobalt,15,76.27,1103.91
118556,Oatmea Mel,15,73.94,1044.92
118977,Red Multi,15,62.53,932.17
207494,Lagoon,15,59.07,886.05
SPKTP0107,Blue/Ivory,15,58.93,861.93
SPKDRS0051,Green Mult,15,55.26,828.98
207143,Roy Purple,15,53.26,798.96
SPKDRS0039,Pink,15,49.0,735.0
SPKONS0083,Sand,15,44.46,657.97
SPKBOT0089,Navy/Whit,15,47.51,637.97
SPKTP0109,Multi,15,42.06,630.94
SPKSLP0007,Mustard Mu,15,41.41,625.99
SPKBOT0064,Multi,15,41.13,616.98
SPKBOT0082,Sand,15,40.68,571.58
SPKKNW0019,Ivory,15,36.46,546.98
SPKBOT0083,Sand,15,34.81,522.17
SPKTP0074,Coral,15,33.35,508.96
517777,Multi,15,23.2,348.01
SPKTP0082,Mult Coral,15,18.72,277.4
118622,Camel,14,432.49,5984.86
207570,Moss,14,392.56,5495.9
118584,Navy Multi,14,271.57,3992.34
118735,Lavender,14,205.4,3061.37
118735,Navy,14,197.05,2692.93
207805,Navy,14,179.99,2519.86
119447,Multi,14,149.99,2099.86
119769,Navy,14,149.99,2099.86
119379,Navy/Whit,14,147.31,2062.36
119549,Soft Pink,14,146.77,2054.86
118286,Pear,14,139.99,1959.86
119245,Tan/White,14,139.99,1959.86
207580,Oatmeal,14,142.24,1955.9
207747,Elm,14,136.8,1908.87
207683,Navy,14,137.24,1895.9
207426,Delft Blue,14,125.29,1887.85
207144,Vine,14,129.99,1819.86
207755,WhiMulti,14,129.99,1819.86
119404,White,14,132.04,1816.89
116501,Mid Wash,14,128.69,1793.86
207640,Dk Sage,14,127.77,1788.87
118819,Lt Blue,14,128.57,1657.26
207719,Multi,14,117.73,1648.29
207392,Delft Blue,14,117.86,1625.9
119096,White,14,102.93,1524.14
207748,Seagreen,14,103.12,1443.73
118119,Whit/Navy,14,102.35,1432.93
207762,Navy,14,98.42,1374.86
118824,Blue/White,14,97.72,1368.14
207713,Frost Blue,14,97.42,1358.87
207702,Navy,14,94.13,1317.88
207219,Hessian,14,89.49,1252.93
118870,Pink Multi,14,83.05,1210.95
118059,Khaki,14,84.86,1177.88
118364,Whit/Green,14,84.05,1144.91
119085,Red/Pink,14,83.84,1136.89
207597,Ball Pt Bl,14,80.64,1128.97
207493G1,Navy,14,79.99,1119.86
118203,Blue/Multi,14,80.88,1095.9
207795,Wash Black,14,78.11,1093.57
207625,Moss,14,75.13,1051.94
207657,Sky Blue,14,74.49,1042.93
207491,Lagoon,14,73.85,1033.92
SPKDRS0048,White,14,73.71,1031.94
207699,Cobalt,14,71.06,994.91
SPKKNW0036,Blue/Multi,14,70.74,951.94
SPKJAC0038,Pink,14,77.93,926.99
SPKBOT0078,Age Blue,14,62.72,878.16
118845,Tan/White,14,57.41,803.86
117241,Khaki,14,56.99,797.88
207135G1,Dk Khaki,14,56.77,794.87
206755,Black,14,66.03,788.97
207699,Seagreen,14,47.26,694.73
118472,Raspberry,14,47.25,661.5
114852G1,Celery,14,49.49,651.94
SPKSLP0002,Multi,14,44.62,636.0
SPKONS0053,Sage,14,44.85,627.98
SPKTP0067,Red/White,14,41.42,579.96
SPKBOT0063,White,14,39.24,549.96
207411,Sun Baked,14,45.55,528.97
SPKTP0087,Pink,14,24.35,340.97
SPKACS0018,Multi,14,19.5,272.0
517779,Multi,14,17.92,250.99
517772,Multi,14,17.64,247.01
118622,Navy,13,435.16,5597.87
119432,Blue/Multi,13,330.19,4152.94
117434G1,White,13,328.99,4030.91
119217,Silver,13,246.65,3199.87
118489,Pink Multi,13,233.99,3041.91
117310,French Nvy,13,230.3,2993.93
207679,Navy,13,239.0,2987.0
118944,Red Multi,13,230.07,2911.38
118741,White,13,208.91,2715.89
118755,Dk Khaki,13,199.99,2599.87
119324,White Mult,13,199.99,2599.87
119777,Navy Multi,13,196.65,2549.87
118876,Whit/Navy,13,196.46,2539.87
119209,Navy/Whit,13,195.92,2538.88
118755,Milk,13,192.7,2446.88
119552,Whit/Navy,13,188.65,2429.87
118998,Multi Whte,13,178.99,2326.9
207767,Khaki,13,176.99,2294.87
118064,Stone,13,179.25,2247.4
118283,Morc Blue,13,172.22,2238.88
119805,White,13,169.99,2209.87
115359,Pl Blue,13,166.14,2159.87
119020,Indigo,13,166.34,2133.37
207564,True Blue,13,159.99,2079.87
118982,Navy,13,157.86,2025.12
207363,Navy,13,145.46,2023.93
118881,Navy,13,160.92,2013.93
118564,Cerise,13,143.99,1949.87
119549,Navy,13,149.99,1949.87
207790,Khaki,13,149.99,1949.87
206578,Bnt Orange,13,147.53,1917.89
117925,Winter Wht,13,140.79,1913.93
115179,Cerulean,13,146.59,1898.88
118600,Her Blue,13,141.36,1867.89
207784,Cobalt/Wht,13,139.99,1819.87
118564,Cobalt,13,141.93,1796.9
119122,Lt Teal,13,134.3,1745.91
119122,Sun,13,136.39,1745.91
207580,Lake Blue,13,134.3,1745.91
118572,Charco Mel,13,132.55,1723.24
207756,Green Mult,13,132.14,1717.89
206637,Malt,13,130.53,1696.9
119204,Multi,13,129.99,1689.87
207733G1,Navy,13,126.91,1649.87
207640,Navy,13,121.85,1567.88
207748,Cobalt,13,113.92,1530.9
207269,Sky,13,110.99,1508.89
207710,Green,13,117.05,1495.91
207537,Indigo,13,114.22,1484.92
119027,Orange/Wht,13,113.16,1471.16
207721,Barley,13,119.3,1426.92
207741,Multi,13,99.83,1401.21
118301,Navy/Whit,13,107.92,1398.88
119493,Pink/White,13,99.99,1299.87
119263,Pink Multi,13,99.62,1295.15
117431,Navy,13,98.9,1285.73
207520,Purple,13,97.84,1271.95
207762,White,13,96.52,1254.87
119233,Navy,13,94.45,1227.89
119445,Multi,13,92.78,1224.9
119261,White Mult,13,93.94,1221.29
207713,Dusty Pink,13,93.33,1200.11
119833,Belle Blue,13,89.99,1169.87
118060,Pink Mel,13,88.6,1151.87
119448,Roseberry,13,88.6,1151.87
118060,Green Mel,13,88.25,1147.37
207669,Tan,13,91.2,1135.91
207736,Blue/Multi,13,87.37,1135.91
206726,Lagoon,13,84.37,1096.9
118556,Blue Mel,13,82.29,1069.89
118892,Pink Multi,13,81.79,1046.9
207734,Ink,13,79.99,1039.87
119754,Wine,13,78.75,1023.87
119754,Whit/Kha,13,78.75,1023.87
119794,Navy Multi,13,78.12,1011.87
116517G1,Avocado,13,76.83,998.88
207772,Multi,13,75.68,983.87
119328,Whit/Blue,13,75.85,977.89
207699,Hibiscus,13,75.14,976.9
118379,Regatta,13,82.66,939.97
207779,Grey,13,72.3,939.97
207515,Foliage,13,71.48,917.25
207705,Pink Multi,13,74.12,911.95
SPKDRS0052,Multi,13,60.37,790.29
207831,Grey Mel,13,59.06,767.87
207135G1,Moss,13,57.45,746.88
SPKBOT0067,Multi,13,56.63,736.19
SPKKNW0017,Pink,13,55.45,720.96
118632,White,13,54.53,708.98
206755,Airfr Blue,13,65.99,687.99
207411,Teal,13,48.94,676.15
118471,Raspberry,13,49.0,637.0
SPKONS0055,Multi,13,49.26,630.19
119099,Cove Blu,13,48.24,628.88
SPKBOT0087,Navy,13,45.45,590.96
118376,Blue/White,13,45.74,587.99
SPKKNW0011,Taupe,13,42.33,557.0
SPKTP0111,Pink,13,40.91,531.95
SPKBOT0085,Mid Blue,13,33.92,440.96
SPKTP0115,Navy Multi,13,33.69,437.99
SPKONS0052,White,13,33.19,397.99
SPKTP0058,Grey Strip,13,25.3,328.98
517803,Yellow,13,15.25,183.02
207590,Camel,12,410.49,4925.92
119574,Blue,12,392.49,4679.88
119216,Silver,12,268.53,3455.67
119738,Black,12,265.74,3188.88
119511,Multi,12,290.06,3041.13
207379,Blue,12,235.83,2909.98
119211,Navy,12,239.27,2849.88
119559,Grey Mel,12,225.32,2703.88
207690,Navy,12,249.0,2688.0
119463,Navy Multi,12,221.49,2657.9
207690,Dk Khaki,12,209.5,2514.0
118744,Navy,12,197.01,2440.16
118743,Black,12,228.74,2420.97
118876,Belle Blue,12,199.99,2399.88
119260,White Mult,12,199.99,2399.88
119602,Multi,12,199.99,2399.88
119642,Whit/Navy,12,199.99,2399.88
118595,Black,12,196.78,2348.2
118802,Blue/Multi,12,196.04,2328.89
119124,Navy/Whit,12,194.27,2319.88
207631,Navy Multi,12,247.12,2250.28
119739,Navy,12,189.32,2207.88
119251,Silver,12,186.67,2186.91
207805,Truffle,12,174.91,2088.89
117843,Blue/Multi,12,172.99,2075.92
207724,Blue/Multi,12,173.49,2068.89
207766,Multi,12,169.4,2032.89
119480,Red Multi,12,166.95,1997.38
118773,Camel,12,162.49,1934.89
207583,Check,12,160.36,1909.79
115453,Hazelnut,12,149.31,1892.39
118572,Tan,12,163.15,1856.91
119313,Khaki,12,155.85,1805.4
117655,Navy,12,146.5,1758.0
119761,Chocolate,12,145.16,1732.38
118564,Apricot,12,144.2,1718.89
206637,White,12,142.39,1709.88
207738,Navy,12,142.4,1708.89
207439,Sand,12,141.86,1702.38
207622,Putty,12,133.85,1675.92
117399,Hydrangea,12,137.99,1651.88
118869,Pink Multi,12,135.7,1628.45
115179,Orchid,12,136.63,1612.9
207768,Blue/Multi,12,134.99,1609.88
117431,String,12,132.82,1593.94
119162,Navy/Whit,12,136.5,1571.15
115179,Brt Pink,12,130.92,1571.11
207746,Blue/Multi,12,129.99,1559.88
207775,Grey Mel,12,127.82,1533.88
207769,Navy Multi,12,127.71,1518.89
207714,Khaki,12,126.27,1507.88
207740,Forest,12,125.09,1501.09
118484,Blue/Multi,12,120.57,1489.98
207754,Barley,12,120.99,1451.9
119505,Black,12,120.07,1440.91
119190,Milk,12,119.96,1439.59
207610,Foliage,12,122.49,1434.93
118372,Navy,12,119.53,1412.91
207269G1,Lagoon,12,120.24,1403.88
119655,Multi,12,117.26,1379.88
207720,Pink/Blue,12,114.49,1373.94
207427,Pruss Blue,12,116.27,1367.91
207464,Jungle,12,113.88,1334.41
207436,Navy,12,113.27,1325.89
