day,date,tender,docket_no,sales_rep,time,value
Saturday,2022-04-16,Integrated EFTP,D36300000027,Georgia,2025-05-06 12:19:00,71.99
Saturday,2022-04-16,Integrated EFTP,D36300000028,Shabair,2025-05-06 12:26:00,359.96
Saturday,2022-04-16,Integrated EFTP,D36300000029,Shabair,2025-05-06 12:29:00,47.99
Saturday,2022-04-16,Integrated EFTP,D36300000030,Jessie,2025-05-06 12:36:00,95.99
Saturday,2022-04-16,Integrated EFTP,D36300000031,Shabair,2025-05-06 12:38:00,455.96
Saturday,2022-04-16,Integrated EFTP,D36300000032,Jessie,2025-05-06 12:40:00,135.99
Saturday,2022-04-16,Integrated EFTP,D36300000033,Gabrielle,2025-05-06 13:13:00,135.98
Saturday,2022-04-16,Integrated EFTP,D36300000034,Jessie,2025-05-06 13:18:00,63.99
Saturday,2022-04-16,Integrated EFTP,D36300000035,Jessie,2025-05-06 13:24:00,103.99
Saturday,2022-04-16,Integrated EFTP,D36300000036,Jessie,2025-05-06 13:41:00,151.99
Saturday,2022-04-16,Integrated EFTP,D36300000037,Shabair,2025-05-06 14:26:00,183.99
Saturday,2022-04-16,Integrated EFTP,D36300000038,Jessie,2025-05-06 14:59:00,55.99
Saturday,2022-04-16,Integrated EFTP,D36300000039,Jessie,2025-05-06 15:02:00,103.99
Saturday,2022-04-16,Integrated EFTP,D36300000040,Shabair,2025-05-06 15:22:00,263.99
Saturday,2022-04-16,Integrated EFTP,D36300000041,Shabair,2025-05-06 15:24:00,175.99
Saturday,2022-04-16,Integrated EFTP,D36300000042,Shabair,2025-05-06 15:36:00,115.99
Saturday,2022-04-16,Integrated EFTP,D36300000044,Georgia,2025-05-06 16:01:00,183.99
Saturday,2022-04-16,Integrated EFTP,D36300000046,Jessie,2025-05-06 16:07:00,135.99
Saturday,2022-04-16,Integrated EFTP,D36300000047,Georgia,2025-05-06 16:11:00,119.99
Saturday,2022-04-16,Integrated EFTP,D36300000049,Jessie,2025-05-06 16:17:00,135.99
Saturday,2022-04-16,Integrated EFTP,D36300000050,Shabair,2025-05-06 16:20:00,135.99
Saturday,2022-04-16,Integrated EFTP,D36300000051,Shabair,2025-05-06 16:23:00,335.98
Saturday,2022-04-16,Integrated EFTP,D36300000052,Georgia,2025-05-06 16:26:00,359.97
Saturday,2022-04-16,Integrated EFTP,D36300000054,Shabair,2025-05-06 17:02:00,144.99
Monday,2022-04-18,Integrated EFTP,D36300000056,Fatemeh,2025-05-06 10:49:00,119.99
Monday,2022-04-18,Integrated EFTP,D36300000057,Paula,2025-05-06 10:50:00,71.99
Monday,2022-04-18,Integrated EFTP,D36300000058,Fatemeh,2025-05-06 11:32:00,103.99
Monday,2022-04-18,Integrated EFTP,D36300000059,Shabair,2025-05-06 11:40:00,151.99
Monday,2022-04-18,Integrated EFTP,D36300000060,Shabair,2025-05-06 11:43:00,151.99
Monday,2022-04-18,Integrated EFTP,D36300000061,Shabair,2025-05-06 12:18:00,119.99
Monday,2022-04-18,Integrated EFTP,D36300000062,Fatemeh,2025-05-06 12:56:00,183.98
Monday,2022-04-18,Integrated EFTP,D36300000063,Paula,2025-05-06 13:30:00,175.99
Monday,2022-04-18,Integrated EFTP,D36300000064,Shabair,2025-05-06 13:32:00,247.98
Monday,2022-04-18,Integrated EFTP,D36300000065,Shabair,2025-05-06 13:43:00,375.99
Monday,2022-04-18,Integrated EFTP,D36300000066,Paula,2025-05-06 13:50:00,151.99
Monday,2022-04-18,Integrated EFTP,D36300000067,Fatemeh,2025-05-06 14:20:00,119.99
Monday,2022-04-18,Integrated EFTP,D36300000068,Paula,2025-05-06 15:10:00,175.99
Monday,2022-04-18,Integrated EFTP,D36300000069,Paula,2025-05-06 15:12:00,175.99
Monday,2022-04-18,Integrated EFTP,D36300000070,Paula,2025-05-06 15:29:00,391.99
Monday,2022-04-18,Integrated EFTP,D36300000071,Shabair,2025-05-06 15:33:00,103.99
Monday,2022-04-18,Integrated EFTP,D36300000072,Paula,2025-05-06 15:53:00,479.96
Monday,2022-04-18,Integrated EFTP,D36300000073,Paula,2025-05-06 15:54:00,143.99
Monday,2022-04-18,Integrated EFTP,D36300000074,Fatemeh,2025-05-06 15:58:00,143.99
Tuesday,2022-04-19,Integrated EFTP,D36300000077,Shabair,2025-05-06 10:25:00,743.95
Tuesday,2022-04-19,Integrated EFTP,D36300000078,Georgia,2025-05-06 10:27:00,179.98
Tuesday,2022-04-19,Integrated EFTP,D36300000080,Jessie,2025-05-06 11:01:00,269.98
Tuesday,2022-04-19,Integrated EFTP,D36300000081,Jessie,2025-05-06 11:48:00,299.98
Tuesday,2022-04-19,Integrated EFTP,D36300000082,Shabair,2025-05-06 11:56:00,239.98
Tuesday,2022-04-19,Integrated EFTP,D36300000083,Jessie,2025-05-06 12:00:00,71.99
Tuesday,2022-04-19,Integrated EFTP,D36300000084,Jessie,2025-05-06 12:19:00,152.99
Tuesday,2022-04-19,Integrated EFTP,D36300000085,Georgia,2025-05-06 12:34:00,134.99
Tuesday,2022-04-19,Integrated EFTP,D36300000086,Georgia,2025-05-06 13:41:00,217.48
Tuesday,2022-04-19,Integrated EFTP,D36300000087,Jessie,2025-05-06 14:23:00,224.98
Tuesday,2022-04-19,Integrated EFTP,D36300000088,Jessie,2025-05-06 14:44:00,170.99
Tuesday,2022-04-19,Integrated EFTP,D36300000089,Jessie,2025-05-06 15:22:00,254.98
Tuesday,2022-04-19,Integrated EFTP,D36300000091,Shabair,2025-05-06 16:02:00,259.98
Tuesday,2022-04-19,Integrated EFTP,D36300000092,Shabair,2025-05-06 16:13:00,332.98
Tuesday,2022-04-19,PayPal,D36300000093,Store,2025-05-06 17:16:00,-268.99
Wednesday,2022-04-20,Integrated EFTP,D36300000096,Paula,2025-05-06 09:31:00,116.99
Wednesday,2022-04-20,Integrated EFTP,D36300000097,Shabair,2025-05-06 10:02:00,197.98
Wednesday,2022-04-20,Integrated EFTP,D36300000098,Paula,2025-05-06 10:11:00,323.98
Wednesday,2022-04-20,Integrated EFTP,D36300000099,Shabair,2025-05-06 10:21:00,194.98
Wednesday,2022-04-20,Integrated EFTP,D36300000100,Shabair,2025-05-06 10:23:00,289.97
Wednesday,2022-04-20,Integrated EFTP,D36300000101,Paula,2025-05-06 11:20:00,342.47
Wednesday,2022-04-20,Integrated EFTP,D36300000102,Paula,2025-05-06 11:40:00,269.99
Wednesday,2022-04-20,Integrated EFTP,D36300000103,Paula,2025-05-06 12:03:00,80.99
Wednesday,2022-04-20,Integrated EFTP,D36300000104,Paula,2025-05-06 14:35:00,152.99
Wednesday,2022-04-20,Integrated EFTP,D36300000105,Paula,2025-05-06 14:55:00,169.99
Wednesday,2022-04-20,Integrated EFTP,D36300000107,Paula,2025-05-06 15:03:00,71.99
Wednesday,2022-04-20,Integrated EFTP,D36300000123,Georgia,2025-05-06 15:53:00,53.99
Wednesday,2022-04-20,Integrated EFTP,D36300000128,Paula,2025-05-06 16:17:00,206.99
Thursday,2022-04-21,Afterpay POS AP,D36300000140,Store,2025-05-06 12:22:00,-322.59
Thursday,2022-04-21,CASH,D36300000146,Georgia,2025-05-06 15:44:00,126.0
Thursday,2022-04-21,Gift Voucher,D36300000148,Shabair,2025-05-06 15:56:00,20.0
Thursday,2022-04-21,Integrated EFTP,D36300000131,Georgia,2025-05-06 09:23:00,94.99
Thursday,2022-04-21,Integrated EFTP,D36300000132,Shabair,2025-05-06 09:37:00,434.97
Thursday,2022-04-21,Integrated EFTP,D36300000133,Shabair,2025-05-06 11:07:00,349.99
Thursday,2022-04-21,Integrated EFTP,D36300000134,Jessie,2025-05-06 11:31:00,152.99
Thursday,2022-04-21,Integrated EFTP,D36300000135,Jessie,2025-05-06 11:39:00,134.99
Thursday,2022-04-21,Integrated EFTP,D36300000136,Shabair,2025-05-06 11:49:00,239.98
Thursday,2022-04-21,Integrated EFTP,D36300000137,Jessie,2025-05-06 12:10:00,152.99
Thursday,2022-04-21,Integrated EFTP,D36300000138,Shabair,2025-05-06 12:10:00,431.97
Thursday,2022-04-21,Integrated EFTP,D36300000139,Jessie,2025-05-06 12:12:00,542.96
Thursday,2022-04-21,Integrated EFTP,D36300000141,Shabair,2025-05-06 12:27:00,359.97
Thursday,2022-04-21,Integrated EFTP,D36300000142,Jessie,2025-05-06 12:39:00,269.98
Thursday,2022-04-21,Integrated EFTP,D36300000143,Shabair,2025-05-06 12:41:00,170.99
Thursday,2022-04-21,Integrated EFTP,D36300000144,Shabair,2025-05-06 15:23:00,199.99
Thursday,2022-04-21,Integrated EFTP,D36300000145,Georgia,2025-05-06 15:27:00,129.98
Thursday,2022-04-21,Integrated EFTP,D36300000147,Georgia,2025-05-06 15:51:00,134.98
Thursday,2022-04-21,Integrated EFTP,D36300000148,Shabair,2025-05-06 15:56:00,132.99
Thursday,2022-04-21,Integrated EFTP,D36300000149,Georgia,2025-05-06 16:01:00,116.99
Thursday,2022-04-21,Integrated EFTP,D36300000150,Shabair,2025-05-06 17:01:00,269.98
Thursday,2022-04-21,Integrated EFTP,D36300000151,Shabair,2025-05-06 17:11:00,74.99
Thursday,2022-04-21,Integrated EFTP,D36300000152,Georgia,2025-05-06 17:20:00,319.96
Thursday,2022-04-21,Integrated EFTP,D36300000153,Shabair,2025-05-06 17:33:00,429.97
Thursday,2022-04-21,Integrated EFTP,D36300000155,Jessie,2025-05-06 17:46:00,179.99
Friday,2022-04-22,Gift Voucher,D36300000170,Shabair,2025-05-06 15:02:00,20.0
Friday,2022-04-22,Integrated EFTP,D36300000157,Shabair,2025-05-06 10:36:00,224.98
Friday,2022-04-22,Integrated EFTP,D36300000158,Paula,2025-05-06 10:48:00,259.98
Friday,2022-04-22,Integrated EFTP,D36300000159,Paula,2025-05-06 11:25:00,152.99
Friday,2022-04-22,Integrated EFTP,D36300000160,Paula,2025-05-06 11:53:00,149.98
Friday,2022-04-22,Integrated EFTP,D36300000161,Paula,2025-05-06 11:56:00,159.99
Friday,2022-04-22,Integrated EFTP,D36300000162,Paula,2025-05-06 12:15:00,323.98
Friday,2022-04-22,Integrated EFTP,D36300000163,Paula,2025-05-06 12:25:00,170.99
Friday,2022-04-22,Integrated EFTP,D36300000164,Paula,2025-05-06 12:42:00,269.98
Friday,2022-04-22,Integrated EFTP,D36300000165,Paula,2025-05-06 13:28:00,259.98
Friday,2022-04-22,Integrated EFTP,D36300000166,Paula,2025-05-06 13:36:00,188.98
Friday,2022-04-22,Integrated EFTP,D36300000167,Shabair,2025-05-06 14:00:00,254.98
Friday,2022-04-22,Integrated EFTP,D36300000168,Pammi,2025-05-06 14:51:00,352.48
Friday,2022-04-22,Integrated EFTP,D36300000169,Pammi,2025-05-06 14:52:00,206.98
Friday,2022-04-22,Integrated EFTP,D36300000170,Shabair,2025-05-06 15:02:00,249.98
Friday,2022-04-22,Integrated EFTP,D36300000171,Shabair,2025-05-06 15:15:00,611.95
Friday,2022-04-22,Integrated EFTP,D36300000172,Paula,2025-05-06 16:25:00,152.99
Friday,2022-04-22,Integrated EFTP,D36300000173,Georgia,2025-05-06 16:39:00,-183.99
Saturday,2022-04-23,Gift Voucher,D36300000198,Georgia,2025-05-06 13:50:00,20.0
Saturday,2022-04-23,Integrated EFTP,D36300000176,Jessie,2025-05-06 09:23:00,159.99
Saturday,2022-04-23,Integrated EFTP,D36300000177,Jessie,2025-05-06 10:00:00,184.98
Saturday,2022-04-23,Integrated EFTP,D36300000178,Jessie,2025-05-06 10:05:00,130.48
Saturday,2022-04-23,Integrated EFTP,D36300000179,Pammi,2025-05-06 10:29:00,179.99
Saturday,2022-04-23,Integrated EFTP,D36300000180,Pammi,2025-05-06 10:54:00,-206.98
Saturday,2022-04-23,Integrated EFTP,D36300000181,Pammi,2025-05-06 10:57:00,-164.99
Saturday,2022-04-23,Integrated EFTP,D36300000182,Pammi,2025-05-06 11:00:00,296.99
Saturday,2022-04-23,Integrated EFTP,D36300000183,Jessie,2025-05-06 11:01:00,434.98
Saturday,2022-04-23,Integrated EFTP,D36300000184,Jessie,2025-05-06 11:03:00,377.97
Saturday,2022-04-23,Integrated EFTP,D36300000185,Georgia,2025-05-06 11:24:00,152.99
Saturday,2022-04-23,Integrated EFTP,D36300000186,Jessie,2025-05-06 11:25:00,134.99
Saturday,2022-04-23,Integrated EFTP,D36300000187,Georgia,2025-05-06 11:38:00,170.99
Saturday,2022-04-23,Integrated EFTP,D36300000188,Jessie,2025-05-06 12:08:00,170.99
Saturday,2022-04-23,Integrated EFTP,D36300000189,Pammi,2025-05-06 12:12:00,188.97
Saturday,2022-04-23,Integrated EFTP,D36300000190,Pammi,2025-05-06 12:35:00,247.48
Saturday,2022-04-23,Integrated EFTP,D36300000191,Gabrielle,2025-05-06 12:45:00,107.99
Saturday,2022-04-23,Integrated EFTP,D36300000192,Georgia,2025-05-06 13:03:00,116.99
Saturday,2022-04-23,Integrated EFTP,D36300000193,Georgia,2025-05-06 13:08:00,194.97
Saturday,2022-04-23,Integrated EFTP,D36300000194,Georgia,2025-05-06 13:34:00,254.98
Saturday,2022-04-23,Integrated EFTP,D36300000196,Georgia,2025-05-06 13:41:00,89.99
Saturday,2022-04-23,Integrated EFTP,D36300000197,Georgia,2025-05-06 13:46:00,98.99
Saturday,2022-04-23,Integrated EFTP,D36300000198,Georgia,2025-05-06 13:50:00,60.99
Saturday,2022-04-23,Integrated EFTP,D36300000199,Jessie,2025-05-06 13:52:00,407.47
Saturday,2022-04-23,Integrated EFTP,D36300000200,Georgia,2025-05-06 14:01:00,71.99
Saturday,2022-04-23,Integrated EFTP,D36300000201,Georgia,2025-05-06 14:08:00,254.98
Saturday,2022-04-23,Integrated EFTP,D36300000203,Georgia,2025-05-06 14:32:00,170.99
Saturday,2022-04-23,Integrated EFTP,D36300000204,Georgia,2025-05-06 14:40:00,80.99
Saturday,2022-04-23,Integrated EFTP,D36300000205,Pammi,2025-05-06 15:12:00,71.99
Saturday,2022-04-23,Integrated EFTP,D36300000206,Georgia,2025-05-06 15:50:00,371.97
Saturday,2022-04-23,Integrated EFTP,D36300000207,Georgia,2025-05-06 16:19:00,-119.99
Saturday,2022-04-23,Integrated EFTP,D36300000208,Pammi,2025-05-06 16:22:00,254.98
Saturday,2022-04-23,Integrated EFTP,D36300000209,Jessie,2025-05-06 16:22:00,119.99
Saturday,2022-04-23,Integrated EFTP,D36300000210,Jessie,2025-05-06 16:23:00,116.99
Saturday,2022-04-23,Integrated EFTP,D36300000213,Jessie,2025-05-06 16:41:00,260.99
Saturday,2022-04-23,Integrated EFTP,D36300000214,Jessie,2025-05-06 16:55:00,134.99
Saturday,2022-04-23,Integrated EFTP,D36300000215,Georgia,2025-05-06 17:00:00,84.99
Saturday,2022-04-23,PayPal,D36300000211,Store,2025-05-06 16:29:00,-263.98
Sunday,2022-04-24,Gift Voucher,D36300000230,Fatemeh,2025-05-06 13:16:00,125.99
Sunday,2022-04-24,Integrated EFTP,D36300000217,Fatemeh,2025-05-06 10:15:00,269.99
Sunday,2022-04-24,Integrated EFTP,D36300000218,Shabair,2025-05-06 10:32:00,359.98
Sunday,2022-04-24,Integrated EFTP,D36300000219,Fatemeh,2025-05-06 10:48:00,269.99
Sunday,2022-04-24,Integrated EFTP,D36300000220,Shabair,2025-05-06 10:49:00,107.98
Sunday,2022-04-24,Integrated EFTP,D36300000221,Shabair,2025-05-06 11:19:00,179.99
Sunday,2022-04-24,Integrated EFTP,D36300000222,Jessie,2025-05-06 11:33:00,134.98
Sunday,2022-04-24,Integrated EFTP,D36300000223,Fatemeh,2025-05-06 12:18:00,215.98
Sunday,2022-04-24,Integrated EFTP,D36300000224,Store,2025-05-06 12:32:00,-29.4
Sunday,2022-04-24,Integrated EFTP,D36300000225,Store,2025-05-06 12:36:00,-29.4
Sunday,2022-04-24,Integrated EFTP,D36300000226,Shabair,2025-05-06 12:42:00,99.99
Sunday,2022-04-24,Integrated EFTP,D36300000227,Fatemeh,2025-05-06 12:44:00,119.98
Sunday,2022-04-24,Integrated EFTP,D36300000228,Fatemeh,2025-05-06 12:47:00,296.99
Sunday,2022-04-24,Integrated EFTP,D36300000229,Store,2025-05-06 12:49:00,-59.4
Sunday,2022-04-24,Integrated EFTP,D36300000231,Pammi,2025-05-06 13:38:00,107.99
Sunday,2022-04-24,Integrated EFTP,D36300000232,Shabair,2025-05-06 14:24:00,679.45
Sunday,2022-04-24,Integrated EFTP,D36300000233,Pammi,2025-05-06 14:32:00,139.98
Sunday,2022-04-24,Integrated EFTP,D36300000234,Fatemeh,2025-05-06 15:34:00,299.98
Sunday,2022-04-24,Integrated EFTP,D36300000235,Fatemeh,2025-05-06 15:37:00,71.99
Sunday,2022-04-24,Integrated EFTP,D36300000236,Shabair,2025-05-06 15:58:00,344.98
Sunday,2022-04-24,Integrated EFTP,D36300000238,Shabair,2025-05-06 16:51:00,134.99
Monday,2022-04-25,Integrated EFTP,D36300000240,Fatemeh,2025-05-06 13:36:00,129.98
Monday,2022-04-25,Integrated EFTP,D36300000241,Shabair,2025-05-06 13:44:00,59.99
Monday,2022-04-25,Integrated EFTP,D36300000242,Jessie,2025-05-06 14:16:00,116.99
Monday,2022-04-25,Integrated EFTP,D36300000243,Fatemeh,2025-05-06 14:26:00,152.99
Monday,2022-04-25,Integrated EFTP,D36300000244,Jessie,2025-05-06 14:33:00,143.99
Monday,2022-04-25,Integrated EFTP,D36300000245,Jessie,2025-05-06 14:39:00,347.97
Monday,2022-04-25,Integrated EFTP,D36300000246,Shabair,2025-05-06 14:54:00,296.99
Monday,2022-04-25,Integrated EFTP,D36300000247,Jessie,2025-05-06 15:34:00,251.98
Tuesday,2022-04-26,Gift Voucher,D36300000268,Pammi,2025-05-06 14:17:00,20.0
Tuesday,2022-04-26,Integrated EFTP,D36300000250,Pammi,2025-05-06 10:59:00,125.98
Tuesday,2022-04-26,Integrated EFTP,D36300000251,Store,2025-05-06 11:03:00,-99.0
Tuesday,2022-04-26,Integrated EFTP,D36300000252,Store,2025-05-06 11:07:00,-49.0
Tuesday,2022-04-26,Integrated EFTP,D36300000253,Pammi,2025-05-06 11:18:00,311.98
Tuesday,2022-04-26,Integrated EFTP,D36300000254,Shabair,2025-05-06 11:43:00,343.98
Tuesday,2022-04-26,Integrated EFTP,D36300000255,Shabair,2025-05-06 11:45:00,151.99
Tuesday,2022-04-26,Integrated EFTP,D36300000257,Shabair,2025-05-06 12:04:00,591.96
Tuesday,2022-04-26,Integrated EFTP,D36300000258,Shabair,2025-05-06 12:07:00,135.99
Tuesday,2022-04-26,Integrated EFTP,D36300000259,Pammi,2025-05-06 12:09:00,103.99
Tuesday,2022-04-26,Integrated EFTP,D36300000260,Georgia,2025-05-06 12:17:00,119.99
Tuesday,2022-04-26,Integrated EFTP,D36300000261,Store,2025-05-06 12:27:00,-197.0
Tuesday,2022-04-26,Integrated EFTP,D36300000262,Shabair,2025-05-06 12:30:00,143.99
Tuesday,2022-04-26,Integrated EFTP,D36300000263,Store,2025-05-06 12:31:00,-118.8
Tuesday,2022-04-26,Integrated EFTP,D36300000264,Store,2025-05-06 12:34:00,-70.8
Tuesday,2022-04-26,Integrated EFTP,D36300000265,Pammi,2025-05-06 12:42:00,159.99
Tuesday,2022-04-26,Integrated EFTP,D36300000266,Pammi,2025-05-06 13:23:00,63.99
Tuesday,2022-04-26,Integrated EFTP,D36300000267,Shabair,2025-05-06 13:43:00,423.96
Tuesday,2022-04-26,Integrated EFTP,D36300000268,Pammi,2025-05-06 14:17:00,907.95
Tuesday,2022-04-26,Integrated EFTP,D36300000269,Pammi,2025-05-06 14:40:00,95.99
Tuesday,2022-04-26,Integrated EFTP,D36300000270,Shabair,2025-05-06 15:03:00,95.99
Tuesday,2022-04-26,Integrated EFTP,D36300000271,Pammi,2025-05-06 16:01:00,143.98
Tuesday,2022-04-26,Integrated EFTP,D36300000272,Shabair,2025-05-06 16:43:00,287.98
Tuesday,2022-04-26,Integrated EFTP,D36300000274,Shabair,2025-05-06 17:33:00,135.99
Tuesday,2022-04-26,PayPal,D36300000256,Store,2025-05-06 12:01:00,-101.6
Wednesday,2022-04-27,Account,D36300000392,Georgia,2025-05-06 16:45:00,189.99
Wednesday,2022-04-27,Gift Voucher,D36300000394,Shabair,2025-05-06 17:32:00,20.0
Wednesday,2022-04-27,Integrated EFTP,D36300000276,Shabair,2025-05-06 09:21:00,319.98
Wednesday,2022-04-27,Integrated EFTP,D36300000277,Paula,2025-05-06 09:29:00,219.97
Wednesday,2022-04-27,Integrated EFTP,D36300000278,Paula,2025-05-06 10:06:00,86.37
Wednesday,2022-04-27,Integrated EFTP,D36300000279,Paula,2025-05-06 10:08:00,201.48
Wednesday,2022-04-27,Integrated EFTP,D36300000286,Paula,2025-05-06 11:36:00,263.98
Wednesday,2022-04-27,Integrated EFTP,D36300000316,Georgia,2025-05-06 11:58:00,87.99
Wednesday,2022-04-27,Integrated EFTP,D36300000340,Georgia,2025-05-06 12:33:00,71.99
Wednesday,2022-04-27,Integrated EFTP,D36300000375,Paula,2025-05-06 12:48:00,231.98
Wednesday,2022-04-27,Integrated EFTP,D36300000382,Georgia,2025-05-06 13:02:00,159.99
Wednesday,2022-04-27,Integrated EFTP,D36300000384,Shabair,2025-05-06 13:22:00,119.99
Wednesday,2022-04-27,Integrated EFTP,D36300000385,Shabair,2025-05-06 14:07:00,111.99
Wednesday,2022-04-27,Integrated EFTP,D36300000386,Shabair,2025-05-06 14:13:00,63.99
Wednesday,2022-04-27,Integrated EFTP,D36300000387,Georgia,2025-05-06 14:15:00,633.96
Wednesday,2022-04-27,Integrated EFTP,D36300000388,Paula,2025-05-06 15:27:00,119.99
Wednesday,2022-04-27,Integrated EFTP,D36300000389,Georgia,2025-05-06 15:29:00,135.99
Wednesday,2022-04-27,Integrated EFTP,D36300000390,Shabair,2025-05-06 15:38:00,143.99
Wednesday,2022-04-27,Integrated EFTP,D36300000391,Georgia,2025-05-06 16:35:00,200.0
Wednesday,2022-04-27,Integrated EFTP,D36300000394,Shabair,2025-05-06 17:32:00,363.98
Thursday,2022-04-28,Integrated EFTP,D36300000396,Jessie,2025-05-06 09:28:00,559.97
Thursday,2022-04-28,Integrated EFTP,D36300000397,Georgia,2025-05-06 09:41:00,455.96
Thursday,2022-04-28,Integrated EFTP,D36300000398,Georgia,2025-05-06 10:03:00,207.98
Thursday,2022-04-28,Integrated EFTP,D36300000399,Jessie,2025-05-06 10:23:00,103.99
Thursday,2022-04-28,Integrated EFTP,D36300000400,Georgia,2025-05-06 11:24:00,119.99
Thursday,2022-04-28,Integrated EFTP,D36300000401,Pammi,2025-05-06 11:31:00,103.99
Thursday,2022-04-28,Integrated EFTP,D36300000402,Jessie,2025-05-06 12:34:00,303.98
Thursday,2022-04-28,Integrated EFTP,D36300000404,Pammi,2025-05-06 12:46:00,431.97
Thursday,2022-04-28,Integrated EFTP,D36300000405,Jessie,2025-05-06 12:46:00,335.98
Thursday,2022-04-28,Integrated EFTP,D36300000406,Jessie,2025-05-06 12:51:00,119.99
Thursday,2022-04-28,Integrated EFTP,D36300000407,Jessie,2025-05-06 13:09:00,119.99
Thursday,2022-04-28,Integrated EFTP,D36300000408,Georgia,2025-05-06 15:16:00,1495.92
Thursday,2022-04-28,Integrated EFTP,D36300000409,Jessie,2025-05-06 15:19:00,519.96
Thursday,2022-04-28,Integrated EFTP,D36300000411,Pammi,2025-05-06 16:04:00,47.99
Thursday,2022-04-28,Integrated EFTP,D36300000412,Jessie,2025-05-06 16:07:00,383.98
Thursday,2022-04-28,Integrated EFTP,D36300000413,Jessie,2025-05-06 16:22:00,94.48
Thursday,2022-04-28,Integrated EFTP,D36300000414,Jessie,2025-05-06 16:53:00,47.99
Thursday,2022-04-28,Integrated EFTP,D36300000415,Georgia,2025-05-06 17:18:00,455.97
Friday,2022-04-29,Account,D36300000420,Georgia,2025-05-06 10:09:00,429.98
Friday,2022-04-29,Gift Voucher,D36300000438,Shabair,2025-05-06 13:06:00,20.0
Friday,2022-04-29,Integrated EFTP,D36300000418,Paula,2025-05-06 09:17:00,37.48
Friday,2022-04-29,Integrated EFTP,D36300000419,Paula,2025-05-06 09:43:00,152.99
Friday,2022-04-29,Integrated EFTP,D36300000421,Shabair,2025-05-06 10:12:00,239.98
Friday,2022-04-29,Integrated EFTP,D36300000422,Shabair,2025-05-06 10:19:00,209.98
Friday,2022-04-29,Integrated EFTP,D36300000423,Georgia,2025-05-06 10:31:00,179.99
Friday,2022-04-29,Integrated EFTP,D36300000425,Georgia,2025-05-06 10:37:00,164.24
Friday,2022-04-29,Integrated EFTP,D36300000426,Shabair,2025-05-06 11:25:00,74.98
Friday,2022-04-29,Integrated EFTP,D36300000427,Shabair,2025-05-06 11:40:00,189.99
Friday,2022-04-29,Integrated EFTP,D36300000428,Georgia,2025-05-06 11:47:00,828.68
Friday,2022-04-29,Integrated EFTP,D36300000429,Paula,2025-05-06 12:06:00,277.48
Friday,2022-04-29,Integrated EFTP,D36300000430,Georgia,2025-05-06 12:08:00,329.98
Friday,2022-04-29,Integrated EFTP,D36300000431,Shabair,2025-05-06 12:16:00,262.48
Friday,2022-04-29,Integrated EFTP,D36300000433,Paula,2025-05-06 12:27:00,153.73
Friday,2022-04-29,Integrated EFTP,D36300000434,Shabair,2025-05-06 12:38:00,100.0
Friday,2022-04-29,Integrated EFTP,D36300000435,Paula,2025-05-06 12:40:00,152.99
Friday,2022-04-29,Integrated EFTP,D36300000437,Shabair,2025-05-06 13:01:00,71.99
Friday,2022-04-29,Integrated EFTP,D36300000438,Shabair,2025-05-06 13:06:00,264.97
